ts,ihd03A,ihd05A,ihd07A,ithdA
1588750877739,91.02,77.61,61.22,165.83
1588750877760,91.08,77.41,60.86,165.49
1588750877780,91.07,77.26,60.67,165.21
1588750877800,91.19,77.02,60.46,165.04
1588750877820,91.22,76.94,60.28,164.88
1588750877840,91.16,76.85,60.25,164.54
1588750877861,91.01,76.84,60.26,164.25
1588750877882,90.89,76.81,60.33,164.19
1588750877902,90.71,76.82,60.54,164.22
1588750877923,90.58,76.87,60.62,164.39
1588750877943,90.52,76.96,60.86,164.78
1588750877964,90.48,77.12,61.22,165.32
1588750877984,90.54,77.25,61.48,165.78
1588750878004,90.63,77.5,61.79,166.26
1588750878028,90.77,77.72,62.07,166.68
1588750878048,90.99,78.01,62.36,167.11
1588750878068,91.14,78.2,62.41,167.37
1588750878088,91.36,78.5,62.4,167.73
1588750878108,91.46,78.79,62.42,167.82
1588750878128,91.56,78.93,62.39,167.84
1588750878149,91.63,79.05,62.39,167.87
1588750878170,91.74,79.19,62.42,168.04
1588750878190,91.87,79.37,62.57,168.27
1588750878211,92.0,79.49,62.73,168.44
1588750878232,92.15,79.55,62.85,168.49
1588750878253,92.26,79.58,63.17,168.71
1588750878273,92.31,79.64,63.46,168.9
1588750878294,92.43,79.76,63.73,169.21
1588750878314,92.58,79.85,63.98,169.38
1588750878335,92.68,79.95,64.16,169.51
1588750878355,92.65,79.86,64.32,169.47
1588750878377,92.58,79.73,64.33,169.34
1588750878398,92.27,79.3,64.17,168.98
1588750878418,92.03,78.95,63.86,168.54
1588750878438,91.71,78.6,63.41,167.88
1588750878458,91.59,78.42,63.04,167.51
1588750878479,91.53,78.44,62.76,167.4
1588750878501,91.63,78.51,62.44,167.34
1588750878522,91.62,78.55,62.32,167.29
1588750878542,91.54,78.66,62.16,167.25
1588750878562,91.36,78.69,62.1,167.09
1588750878582,91.28,78.81,61.96,167.05
1588750878602,91.19,78.94,61.93,167.02
1588750878623,91.14,78.97,61.81,166.93
1588750878644,90.99,78.99,61.71,166.58
1588750878664,90.91,78.86,61.69,166.08
1588750878684,90.85,78.8,61.65,165.81
1588750878704,90.83,78.64,61.71,165.63
1588750878724,90.82,78.49,61.79,165.77
1588750878749,90.8,78.3,61.88,165.73
1588750878770,90.81,77.91,61.84,165.23
