ts,pwrA,rpwrA,curA,apwrA,screA
1588750244065,0.1651,2.8664,0.0187,4.3921,1.841
1588750244085,0.1981,4.0633,0.0188,4.4086,1.841
1588750244105,0.2146,2.7663,0.0188,4.4086,1.841
1588750244125,0.1981,-3.7852,0.0188,4.4086,1.841
1588750244145,0.2146,2.5035,0.0188,4.4086,3.058
1588750244165,0.2642,3.7738,0.0188,4.4086,3.058
1588750244185,0.2972,4.3248,0.0188,4.4251,2.192
1588750244205,0.2807,2.7259,0.0189,4.4251,2.192
1588750244225,0.2972,2.4618,0.0189,4.4416,2.192
1588750244245,0.3137,2.1875,0.0189,4.4416,2.566
1588750244265,0.3302,3.5451,0.0189,4.4416,2.566
1588750244285,0.3467,4.2985,0.0188,4.4251,2.029
1588750244305,0.3467,-1.3306,0.0188,4.4086,2.029
1588750244325,0.3302,2.2656,0.0187,4.3755,2.029
1588750244345,0.3137,1.8478,0.0186,4.359,2.029
1588750244365,0.3302,3.9989,0.0185,4.359,1.858
1588750244385,0.3137,0.6214,0.0185,4.3425,1.858
1588750244405,0.2807,4.1017,0.0184,4.326,1.858
1588750244425,0.2477,4.0976,0.0184,4.326,2.708
1588750244445,0.2477,-4.2442,0.0184,4.3095,2.708
1588750244465,0.2312,3.1618,0.0183,4.3095,2.708
1588750244485,0.2642,4.2381,0.0183,4.293,2.417
1588750244505,0.2972,3.123,0.0182,4.2765,2.417
1588750244525,0.2972,4.2395,0.0181,4.26,2.273
1588750244545,0.3302,2.5719,0.0181,4.2435,2.273
1588750244565,0.3467,4.2283,0.018,4.2269,2.166
1588750244585,0.3798,4.2244,0.018,4.2269,2.166
1588750244605,0.3798,-4.2187,0.018,4.2269,2.111
1588750244625,0.3633,2.2309,0.018,4.2269,2.111
1588750244645,0.3137,2.235,0.0181,4.2435,2.111
1588750244665,0.2807,3.5281,0.0181,4.26,2.714
1588750244685,0.2477,2.0431,0.0181,4.26,2.714
1588750244705,0.2146,2.5731,0.0182,4.26,2.714
1588750244725,0.1981,3.7499,0.0181,4.26,1.751
1588750244745,0.1981,2.5414,0.0181,4.26,1.751
1588750244765,0.1816,2.0703,0.0182,4.26,2.452
1588750244785,0.1651,4.2404,0.0182,4.2765,2.452
1588750244805,0.1651,4.0873,0.0183,4.293,2.452
1588750244825,0.1651,3.159,0.0184,4.3095,2.075
1588750244845,0.1651,3.7957,0.0185,4.3425,2.075
1588750244865,0.1651,3.0889,0.0185,4.3425,2.538
1588750244885,0.1651,1.0531,0.0185,4.359,2.538
1588750244905,0.1651,0.1285,0.0186,4.359,2.538
1588750244925,0.1981,-4.3113,0.0186,4.3755,2.538
1588750244945,0.2146,3.4603,0.0187,4.3921,2.344
1588750244965,0.2312,3.8321,0.0188,4.4086,2.344
1588750244985,0.2642,3.8469,0.0188,4.4251,2.8
1588750245005,0.2972,0.6245,0.0189,4.4416,2.8
1588750245025,0.2807,4.3558,0.0189,4.4416,2.075
1588750245045,0.2642,3.8821,0.0189,4.4416,2.386
1588750245065,0.2477,4.0428,0.0188,4.4251,2.386
1588750245085,0.1981,4.0428,0.0188,4.4251,2.386
1588750245105,0.1816,4.0544,0.0189,4.4416,2.386
1588750245125,0.1651,2.7293,0.019,4.4581,1.665
1588750245145,0.1156,4.2847,0.019,4.4581,1.665
1588750245165,0.066,3.7191,0.019,4.4581,2.672
1588750245185,0.033,-0.3988,0.019,4.4581,2.672
1588750245205,0.0165,-0.3972,0.0189,4.4416,2.672
1588750245225,0.033,-2.5774,0.0188,4.4086,2.451
1588750245245,0.066,4.2643,0.0187,4.3921,2.451
1588750245265,0.1651,3.0888,0.0186,4.359,2.216
1588750245285,0.2312,1.5426,0.0185,4.359,2.216
1588750245305,0.2477,4.1267,0.0185,4.3425,2.216
1588750245325,0.2642,4.3154,0.0185,4.359,2.361
1588750245345,0.2477,1.244,0.0186,4.359,2.361
1588750245365,0.2642,3.6298,0.0186,4.3755,2.997
1588750245385,0.2477,3.444,0.0186,4.3755,2.988
1588750245405,0.2477,1.6568,0.0186,4.3755,2.988
1588750245425,0.2477,3.5566,0.0186,4.3755,1.51
1588750245445,0.2642,-0.6609,0.0185,4.359,1.51
1588750245465,0.2642,4.3498,0.0185,4.3425,2.785
1588750245485,0.3137,-0.0213,0.0185,4.3425,2.785
1588750245505,0.3467,3.8306,0.0185,4.3425,2.785
1588750245525,0.3633,3.4555,0.0185,4.3425,2.298
1588750245545,0.3467,0.5365,0.0185,4.3425,2.298
1588750245565,0.3467,4.2602,0.0185,4.3425,2.298
1588750245585,0.3302,3.6712,0.0184,4.326,2.298
1588750245605,0.3137,3.8659,0.0184,4.326,3.572
1588750245625,0.2807,3.9174,0.0184,4.3095,3.572
1588750245645,0.2972,2.6385,0.0184,4.3095,3.115
