ts,pwrA,rpwrA,curA,apwrA,screA
1588752274615,22.4722,4.8013,0.1694,39.6771,3.334
1588752274635,22.4556,2.5254,0.1693,39.6606,3.334
1588752274655,22.4391,-5.47,0.1693,39.6276,3.39
1588752274675,22.3896,0.3882,0.1691,39.6111,3.39
1588752274695,22.3896,0.3396,0.1691,39.5946,3.39
1588752274715,22.4061,-10.7295,0.169,39.5946,3.413
1588752274735,22.4061,-12.2611,0.1691,39.5946,3.413
1588752274755,22.3896,-11.1991,0.1691,39.6111,3.335
1588752274775,22.3896,-13.1838,0.1691,39.6111,3.335
1588752274795,22.3731,-18.9406,0.1691,39.6111,3.335
1588752274815,22.3566,-10.9152,0.1691,39.5946,3.406
1588752274835,22.3731,-14.1754,0.169,39.5781,3.406
1588752274855,22.3896,-11.3236,0.1689,39.5616,3.406
1588752274875,22.3731,-8.8797,0.1687,39.512,3.436
1588752274895,22.3235,-15.4335,0.1685,39.4625,3.436
1588752274915,22.274,-7.721,0.1682,39.3964,3.436
1588752274935,22.2575,-9.0733,0.168,39.3304,3.436
1588752274955,22.2245,-11.8469,0.1678,39.2974,3.304
1588752274975,22.208,-8.8203,0.1676,39.2478,3.304
1588752274995,22.2245,-1.7293,0.1674,39.2148,3.304
1588752275015,22.241,-8.8983,0.1673,39.1818,3.248
1588752275035,22.274,-8.0989,0.1672,39.1653,3.248
1588752275055,22.274,-4.3095,0.1671,39.1653,3.248
1588752275075,22.3235,-1.2956,0.1672,39.1818,3.298
1588752275095,22.3566,-7.0683,0.1673,39.1983,3.298
1588752275115,22.3731,-0.8647,0.1673,39.2148,3.298
1588752275135,22.3566,1.8736,0.1674,39.2313,3.298
1588752275155,22.3401,-17.221,0.1674,39.2313,3.178
1588752275176,22.307,-17.2189,0.1674,39.2313,3.178
1588752275196,22.274,-10.9023,0.1673,39.2148,3.178
1588752275216,22.2905,-4.0269,0.1673,39.1983,3.236
1588752275236,22.3566,-11.551,0.1674,39.2313,3.236
1588752275256,22.4061,-8.9648,0.1676,39.2643,3.236
1588752275276,22.4061,-0.7224,0.1678,39.3139,3.333
1588752275296,22.3896,-8.8888,0.1679,39.3469,3.333
1588752275316,22.3731,-1.7841,0.168,39.3799,3.333
1588752275336,22.3401,-15.4438,0.1681,39.3799,3.303
1588752275356,22.2905,-11.1299,0.168,39.3634,3.303
1588752275376,22.241,-8.5099,0.1679,39.3304,3.303
1588752275396,22.208,-13.218,0.1678,39.2974,3.266
1588752275416,22.208,-13.795,0.1676,39.2643,3.266
1588752275436,22.1584,-7.7399,0.1675,39.2478,3.266
1588752275456,22.1254,-11.1851,0.1675,39.2313,3.266
1588752275476,22.0924,-9.8383,0.1674,39.2148,3.339
1588752275496,22.0263,-6.9715,0.1673,39.1818,3.339
1588752275516,21.9933,-12.0262,0.167,39.1323,3.165
1588752275536,21.9603,-7.0446,0.1668,39.0662,3.165
1588752275556,21.9438,-4.0072,0.1665,39.0002,3.165
1588752275576,21.9603,-4.335,0.1663,38.9671,3.165
1588752275596,22.0263,-10.968,0.1663,38.9506,3.39
1588752275616,22.1254,-8.8018,0.1663,38.9671,3.39
1588752275636,22.1749,-9.8728,0.1664,38.9837,3.39
1588752275656,22.2245,-13.8819,0.1665,39.0167,3.154
1588752275676,22.2905,-1.578,0.1667,39.0497,3.154
1588752275696,22.3731,-10.7285,0.1668,39.0827,3.154
1588752275716,22.3731,3.9236,0.167,39.1323,3.154
1588752275736,22.3731,-18.8556,0.1672,39.1653,3.354
1588752275756,22.3731,-3.2612,0.1673,39.1983,3.354
1588752275776,22.3731,-16.3529,0.1674,39.2148,3.336
1588752275796,22.3566,-3.169,0.1675,39.2313,3.336
1588752275816,22.3731,-8.6328,0.1676,39.2643,3.336
1588752275836,22.4391,-7.1302,0.1677,39.2809,3.174
1588752275856,22.4887,-9.4428,0.1678,39.3139,3.172
1588752275876,22.5382,-15.8341,0.168,39.3634,3.172
1588752275896,22.5712,-3.0872,0.1682,39.4129,3.163
1588752275916,22.6538,-6.7366,0.1685,39.479,3.163
1588752275936,22.7198,-10.4855,0.1688,39.5616,3.163
1588752275956,22.7528,-15.2357,0.1692,39.6441,3.283
1588752275976,22.8354,-15.0416,0.1696,39.7267,3.283
1588752275996,22.9015,-5.3484,0.1699,39.8092,3.283
1588752276016,22.9345,4.0481,0.1702,39.8753,3.283
1588752276036,22.984,-19.1406,0.1705,39.9413,3.312
1588752276056,23.017,-8.365,0.1707,39.9909,3.305
1588752276076,23.017,-2.6483,0.171,40.0569,3.305
1588752276096,23.0335,-14.5005,0.1712,40.1064,3.305
1588752276116,23.0501,-7.2882,0.1714,40.156,3.296
1588752276136,23.0831,-1.8705,0.1716,40.189,3.296
1588752276156,23.1161,-15.2837,0.1717,40.2385,3.296
1588752276176,23.1326,-15.2918,0.1718,40.255,3.296
1588752276197,23.1326,-12.5266,0.172,40.3046,3.37
1588752276217,23.1161,-5.27,0.1721,40.3211,0.339
1588752276237,23.0996,-1.2847,0.1722,40.3376,0.339
1588752276257,23.0666,-8.974,0.1723,40.3706,0.339
1588752276277,23.017,-9.8427,0.1723,40.3706,3.206
1588752276297,22.951,-4.5419,0.1724,40.3871,3.206
1588752276317,22.8849,-4.4927,0.1723,40.3706,3.206
1588752276337,22.8189,-19.7287,0.1722,40.3541,3.242
1588752276357,22.7859,-7.1255,0.1721,40.3211,3.242
1588752276377,22.7694,-3.0082,0.172,40.2881,3.247
1588752276397,22.7528,-8.2287,0.1718,40.255,3.247
1588752276417,22.7363,-12.3649,0.1717,40.222,3.157
1588752276437,22.7198,-6.0371,0.1716,40.2055,3.157
1588752276457,22.7033,-5.107,0.1715,40.189,3.157
1588752276477,22.7363,-7.1015,0.1715,40.189,3.228
1588752276497,22.7363,-1.7719,0.1715,40.1725,3.228
1588752276517,22.7528,-8.7377,0.1714,40.1725,3.228
1588752276537,22.7528,-10.9283,0.1714,40.156,3.196
1588752276557,22.7694,-7.0452,0.1713,40.1395,3.196
1588752276577,22.8024,-1.6718,0.1713,40.1395,3.196
1588752276597,22.8354,-6.7106,0.1714,40.156,3.206
1588752276617,22.8684,-12.6321,0.1715,40.189,3.206
1588752276637,22.8849,-9.0833,0.1716,40.222,3.202
1588752276657,22.8684,-4.3779,0.1717,40.2385,3.202
1588752276677,22.8354,-3.2007,0.1717,40.2385,3.202
1588752276697,22.7859,-14.0857,0.1717,40.222,3.243
1588752276717,22.7363,-8.5563,0.1716,40.2055,3.243
1588752276737,22.7198,-2.4111,0.1715,40.189,3.243
1588752276757,22.6703,-10.3632,0.1714,40.156,3.269
1588752276777,22.6538,-4.464,0.1712,40.1229,3.269
1588752276797,22.6373,-7.1803,0.1711,40.0899,3.269
1588752276817,22.6538,-6.8368,0.1709,40.0404,3.211
1588752276837,22.6703,-13.456,0.1707,40.0074,3.211
1588752276857,22.6538,-11.2575,0.1706,39.9743,3.211
1588752276877,22.6208,-8.4994,0.1704,39.9413,3.211
1588752276897,22.5382,-16.5901,0.1703,39.9083,3.294
1588752276917,22.4556,-8.2925,0.1701,39.8588,3.294
1588752276937,22.3731,-9.4237,0.1699,39.8257,3.294
1588752276957,22.3566,-10.4083,0.1698,39.7927,3.376
1588752276977,22.3566,-5.5864,0.1697,39.7762,3.376
1588752276997,22.3731,-8.6993,0.1697,39.7762,3.376
1588752277017,22.4061,-8.8418,0.1697,39.7762,3.332
1588752277037,22.4391,-9.3211,0.1698,39.7927,3.332
1588752277057,22.4391,-8.1824,0.1698,39.8092,3.332
1588752277077,22.4226,-4.5263,0.1699,39.8092,3.332
1588752277097,22.4556,-1.4149,0.1699,39.8257,3.222
1588752277117,22.5217,-5.0627,0.17,39.8423,3.222
1588752277137,22.5712,-8.5783,0.1701,39.8753,3.222
1588752277157,22.6042,-13.9655,0.1702,39.8918,3.174
1588752277177,22.6042,-13.9685,0.1702,39.8918,3.174
1588752277197,22.5712,-2.2478,0.1703,39.9083,3.174
1588752277217,22.5877,-5.4591,0.1703,39.9083,3.326
1588752277237,22.6373,-13.1969,0.1703,39.9248,3.326
1588752277257,22.6703,-9.6437,0.1704,39.9413,3.326
1588752277277,22.6868,-6.291,0.1706,39.9743,3.187
1588752277297,22.6868,-10.7434,0.1706,39.9909,3.187
1588752277317,22.6703,-11.7378,0.1707,40.0074,3.187
1588752277337,22.6373,-3.9651,0.1708,40.0239,3.3
1588752277357,22.6208,-0.4415,0.1708,40.0239,3.3
1588752277377,22.6042,-12.4885,0.1708,40.0239,3.3
1588752277397,22.5877,-9.997,0.1708,40.0404,3.307
1588752277417,22.5877,-9.9992,0.1709,40.0404,3.307
1588752277437,22.5382,-12.8729,0.1709,40.0569,3.307
1588752277457,22.5217,-15.1246,0.1709,40.0569,3.298
1588752277477,22.5052,-9.4798,0.1709,40.0569,3.298
1588752277497,22.5052,-10.1397,0.1708,40.0404,3.298
1588752277517,22.5382,0.9311,0.1707,40.0074,3.166
1588752277537,22.5712,-11.7769,0.1706,39.9909,3.166
1588752277557,22.5877,-5.0304,0.1705,39.9743,3.166
1588752277577,22.6373,-2.7879,0.1705,39.9578,3.213
1588752277597,22.6703,-7.1573,0.1704,39.9578,3.213
1588752277618,22.7198,-8.4526,0.1704,39.9413,3.189
1588752277638,22.7198,-4.8321,0.1703,39.9248,3.189
1588752277658,22.7033,-11.8474,0.1702,39.9083,3.192
1588752277678,22.6373,-11.7919,0.17,39.8753,3.192
1588752277698,22.6538,-0.9762,0.1699,39.8423,3.192
1588752277718,22.6373,-15.3967,0.1698,39.8257,3.293
1588752277738,22.6208,-0.1951,0.1697,39.8092,3.293
1588752277758,22.6208,-0.2925,0.1697,39.7927,3.293
1588752277778,22.6373,-1.8517,0.1696,39.7762,3.156
1588752277798,22.6373,-7.5092,0.1696,39.7762,3.156
1588752277818,22.5877,-15.7794,0.1696,39.7762,3.222
1588752277838,22.5382,-13.0133,0.1696,39.7762,3.222
1588752277858,22.5217,3.6505,0.1697,39.7927,3.222
1588752277878,22.5052,-14.211,0.1697,39.7927,3.222
1588752277898,22.4887,-13.799,0.1697,39.8092,3.348
1588752277918,22.4722,-10.3166,0.1697,39.8092,3.348
1588752277938,22.4887,-2.5338,0.1697,39.8092,3.194
1588752277958,22.4887,-7.2241,0.1697,39.7927,3.194
1588752277978,22.5217,0.9745,0.1696,39.7597,3.194
1588752277998,22.5547,-9.1691,0.1695,39.7432,3.248
1588752278018,22.5712,-7.9769,0.1694,39.7267,3.248
