ts,ihd03A,ihd05A,ihd07A,ithdA
1588748836745,89.62,72.83,52.2,137.99
1588748836765,89.68,72.74,52.19,138.04
1588748836785,89.69,72.58,52.22,137.93
1588748836805,89.65,72.42,52.23,137.74
1588748836825,89.54,72.17,52.18,137.5
1588748836845,89.39,72.03,52.21,137.31
1588748836865,89.19,72.01,52.19,137.25
1588748836885,88.95,72.01,52.19,137.17
1588748836906,88.78,71.99,52.09,137.15
1588748836927,88.53,72.0,51.96,136.93
1588748836951,88.33,71.9,51.82,136.74
1588748836972,88.21,71.72,51.67,136.55
1588748836992,88.1,71.56,51.61,136.23
1588748837014,88.07,71.37,51.59,136.02
1588748837035,87.97,71.2,51.51,135.91
1588748837055,87.99,71.13,51.51,135.86
1588748837076,87.98,71.19,51.47,135.89
1588748837096,88.1,71.37,51.54,136.08
1588748837117,88.16,71.56,51.55,136.29
1588748837138,88.24,71.85,51.64,136.54
1588748837159,88.36,72.03,51.63,136.65
1588748837180,88.48,72.05,51.7,136.76
1588748837202,88.61,72.07,51.7,136.87
1588748837223,88.79,72.21,51.8,137.14
1588748837243,88.99,72.39,51.87,137.42
1588748837263,89.11,72.5,51.88,137.55
1588748837284,89.15,72.55,51.87,137.5
1588748837304,89.18,72.59,51.84,137.33
1588748837325,89.18,72.51,51.84,137.17
1588748837346,89.13,72.38,51.86,137.07
1588748837366,89.01,72.25,51.8,137.04
1588748837387,88.87,72.26,51.73,136.99
1588748837407,88.72,72.2,51.75,137.02
1588748837431,88.62,72.32,51.77,137.1
1588748837451,88.68,72.44,51.93,137.32
1588748837473,88.84,72.57,52.12,137.65
1588748837493,89.05,72.74,52.25,138.07
1588748837513,89.22,72.88,52.41,138.4
1588748837533,89.32,72.97,52.56,138.65
1588748837553,89.43,73.14,52.62,138.82
1588748837573,89.47,73.16,52.65,138.87
1588748837594,89.51,73.11,52.58,138.77
1588748837614,89.47,72.92,52.48,138.55
1588748837635,89.36,72.59,52.25,138.14
1588748837655,89.23,72.16,52.02,137.7
1588748837676,89.11,71.82,51.86,137.18
1588748837696,88.94,71.67,51.72,136.8
1588748837717,88.77,71.43,51.76,136.5
1588748837738,88.63,71.39,51.73,136.34
1588748837759,88.6,71.44,51.79,136.28
1588748837780,88.46,71.56,51.84,136.2
1588748837802,88.33,71.68,51.97,136.12
1588748837826,88.14,71.67,51.98,136.03
1588748837847,88.1,71.73,51.99,135.84
1588748837867,88.13,71.69,51.95,135.84
1588748837888,88.15,71.64,51.93,135.76
1588748837909,88.35,71.67,51.95,135.81
1588748837930,88.44,71.66,51.93,135.95
1588748837951,88.54,71.75,51.82,136.11
1588748837973,88.58,71.78,51.76,136.17
1588748837993,88.48,71.77,51.67,136.14
1588748838013,88.38,71.83,51.66,136.03
1588748838034,88.32,71.85,51.75,135.98
1588748838055,88.29,71.89,51.86,136.06
1588748838076,88.45,71.87,51.91,136.09
1588748838097,88.65,71.97,51.98,136.28
1588748838117,88.92,71.89,52.05,136.53
1588748838142,89.15,71.87,52.08,136.8
1588748838163,89.31,71.93,52.37,136.99
1588748838184,89.34,71.96,52.55,137.05
1588748838205,89.28,71.97,52.56,137.16
1588748838226,89.26,72.04,52.55,137.13
1588748838247,89.37,72.08,52.36,137.13
1588748838267,89.43,72.06,52.19,137.02
1588748838287,89.41,71.97,51.93,136.99
1588748838307,89.41,71.89,51.69,136.91
1588748838328,89.35,71.9,51.46,136.86
1588748838348,89.31,71.93,51.32,136.91
1588748838372,89.36,71.89,51.19,136.91
1588748838393,89.43,71.95,51.23,137.02
1588748838413,89.5,72.01,51.27,137.22
1588748838434,89.78,72.01,51.41,137.55
1588748838454,90.01,72.07,51.62,137.82
1588748838475,90.21,72.1,51.8,137.96
1588748838495,90.21,72.1,52.05,138.04
1588748838516,90.25,72.21,52.23,138.09
1588748838537,90.24,72.43,52.43,138.21
1588748838557,90.19,72.54,52.54,138.34
1588748838578,90.03,72.71,52.62,138.34
1588748838602,89.8,72.73,52.58,138.15
1588748838623,89.62,72.66,52.51,137.93
1588748838643,89.41,72.69,52.41,137.76
1588748838664,89.31,72.68,52.32,137.65
1588748838685,89.19,72.65,52.3,137.6
