app,pwr
coffee,1278.1491782964888
dish,1013.0213172296119
entilator,54.20353246465913
freezer,103.56551258537127
fridge,145.69589786111908
heatpumpA,696.0737289539817
heatpumpB,436.58259148010046
heatpumpC,678.1757552526826
iron,1117.9071946691026
ironpress,1320.8836519104543
oven,2554.251713009608
PC,105.041026664996
stove,2205.8557077709675
vacuum,643.0540727741306
wash,121.86338234597967
