,appl,conflict,dif,dpwr,onoff,state
2020-08-23 19:42:12+03:00,,,,,,
2020-08-23 19:42:13+03:00,,,,,,
2020-08-23 19:42:14+03:00,,,,,,
2020-08-23 19:42:15+03:00,,,,,,
2020-08-23 19:42:16+03:00,,,,,,
2020-08-23 19:42:17+03:00,,,,,,
2020-08-23 19:42:18+03:00,,,,,,
2020-08-23 19:42:19+03:00,,,,,,
2020-08-23 19:42:20+03:00,,,,,,
2020-08-23 19:42:21+03:00,,,,,,
2020-08-23 19:42:22+03:00,,,,,,
2020-08-23 19:42:23+03:00,,,,,,
2020-08-23 19:42:24+03:00,,,,,,
2020-08-23 19:42:25+03:00,,,,,,
2020-08-23 19:42:26+03:00,,,,,,
2020-08-23 19:42:27+03:00,,,,,,
2020-08-23 19:42:28+03:00,,,,,,
2020-08-23 19:42:29+03:00,,,,,,
2020-08-23 19:42:30+03:00,,,,,,
2020-08-23 19:42:31+03:00,,,,,,
2020-08-23 19:42:32+03:00,,,,,,
2020-08-23 19:42:33+03:00,,,,,,
2020-08-23 19:42:34+03:00,,,,,,
2020-08-23 19:42:35+03:00,,,,,,
2020-08-23 19:42:36+03:00,,,,,,
2020-08-23 19:42:37+03:00,,,,,,
2020-08-23 19:42:38+03:00,,,,,,
2020-08-23 19:42:39+03:00,,,,,,
2020-08-23 19:42:40+03:00,,,,,,
2020-08-23 19:42:41+03:00,,,,,,
2020-08-23 19:42:42+03:00,,,,,,
2020-08-23 19:42:43+03:00,,,,,,
2020-08-23 19:42:44+03:00,,,,,,
2020-08-23 19:42:45+03:00,,,,,,
2020-08-23 19:42:46+03:00,,,,,,
2020-08-23 19:42:47+03:00,,,,,,
2020-08-23 19:42:48+03:00,,,,,,
2020-08-23 19:42:49+03:00,,,,,,
2020-08-23 19:42:50+03:00,,,,,,
2020-08-23 19:42:51+03:00,,,,,,
2020-08-23 19:42:52+03:00,,,,,,
2020-08-23 19:42:53+03:00,,,,,,
2020-08-23 19:42:54+03:00,,,,,,
2020-08-23 19:42:55+03:00,,,,,,
2020-08-23 19:42:56+03:00,,,,,,
2020-08-23 19:42:57+03:00,,,,,,
2020-08-23 19:42:58+03:00,,,,,,
2020-08-23 19:42:59+03:00,,,,,,
2020-08-23 19:43:00+03:00,,,,,,
2020-08-23 19:43:01+03:00,,,,,,
2020-08-23 19:43:02+03:00,,,,,,
2020-08-23 19:43:03+03:00,,,,,,
2020-08-23 19:43:04+03:00,,,,,,
2020-08-23 19:43:05+03:00,,,,,,
2020-08-23 19:43:06+03:00,,,,,,
2020-08-23 19:43:07+03:00,,,,,,
2020-08-23 19:43:08+03:00,,,,,,
2020-08-23 19:43:09+03:00,,,,,,
2020-08-23 19:43:10+03:00,,,,,,
2020-08-23 19:43:11+03:00,,,,,,
2020-08-23 19:43:12+03:00,,,,,,
2020-08-23 19:43:13+03:00,,,,,,
2020-08-23 19:43:14+03:00,,,,,,
2020-08-23 19:43:15+03:00,,,,,,
2020-08-23 19:43:16+03:00,,,,,,
2020-08-23 19:43:17+03:00,,,,,,
2020-08-23 19:43:18+03:00,,,,,,
2020-08-23 19:43:19+03:00,,,,,,
2020-08-23 19:43:20+03:00,,,,,,
2020-08-23 19:43:21+03:00,,,,,,
2020-08-23 19:43:22+03:00,,,,,,
2020-08-23 19:43:23+03:00,,,,,,
2020-08-23 19:43:24+03:00,,,,,,
2020-08-23 19:43:25+03:00,,,,,,
2020-08-23 19:43:26+03:00,,,,,,
2020-08-23 19:43:27+03:00,,,,,,
2020-08-23 19:43:28+03:00,,,,,,
2020-08-23 19:43:29+03:00,,,,,,
2020-08-23 19:43:30+03:00,,,,,,
2020-08-23 19:43:31+03:00,,,,,,
2020-08-23 19:43:32+03:00,,,,,,
2020-08-23 19:43:33+03:00,,,,,,
2020-08-23 19:43:34+03:00,,,,,,
2020-08-23 19:43:35+03:00,,,,,,
2020-08-23 19:43:36+03:00,,,,,,
2020-08-23 19:43:37+03:00,,,,,,
2020-08-23 19:43:38+03:00,,,,,,
2020-08-23 19:43:39+03:00,,,,,,
2020-08-23 19:43:40+03:00,,,,,,
2020-08-23 19:43:41+03:00,,,,,,
2020-08-23 19:43:42+03:00,,,,,,
2020-08-23 19:43:43+03:00,,,,,,
2020-08-23 19:43:44+03:00,,,,,,
2020-08-23 19:43:45+03:00,,,,,,
2020-08-23 19:43:46+03:00,,,,,,
2020-08-23 19:43:47+03:00,,,,,,
2020-08-23 19:43:48+03:00,,,,,,
2020-08-23 19:43:49+03:00,,,,,,
2020-08-23 19:43:50+03:00,,,,,,
2020-08-23 19:43:51+03:00,,,,,,
2020-08-23 19:43:52+03:00,,,,,,
2020-08-23 19:43:53+03:00,,,,,,
2020-08-23 19:43:54+03:00,,,,,,
2020-08-23 19:43:55+03:00,,,,,,
2020-08-23 19:43:56+03:00,,,,,,
2020-08-23 19:43:57+03:00,,,,,,
2020-08-23 19:43:58+03:00,,,,,,
2020-08-23 19:43:59+03:00,,,,,,
2020-08-23 19:44:00+03:00,,,,,,
2020-08-23 19:44:01+03:00,,,,,,
2020-08-23 19:44:02+03:00,,,,,,
2020-08-23 19:44:03+03:00,,,,,,
2020-08-23 19:44:04+03:00,,,,,,
2020-08-23 19:44:05+03:00,,,,,,
2020-08-23 19:44:06+03:00,,,,,,
